id,address,sale_date,asked_price,sold_price,rooms,living_space,has_balcony,floor,avgift,driftskostnad,built,total_floors,has_lift,lat,lng,avgift_sqm,valdistrikt
3656,Amhults Byväg 1,2021-10-25,2400000.0,2400000,1.0,52.0,,1.0,3664.0,5400.0,2100-01-01,4.0,1,57.71054511423202,11.769247246429888,70.46153846153847,"Västra Hisingen, Amhult-Arendal"
3657,Högsbogatan 31,2021-09-07,4250000.0,4630000,4.0,95.0,1.0,5.0,5643.0,10283.0,2010-01-01,9.0,1,57.67415163339622,11.93055770921741,59.4,"Askim-Frölunda-Högsbo, Högsbotorp, V"
3658,Bandtraktorgatan 3,2021-09-07,1800000.0,1800000,2.0,55.0,1.0,3.0,3162.0,3600.0,2017-01-01,4.0,1,57.79631117559251,12.04642768585294,57.49090909090909,"Angered, Trägårdsgärdet"
3659,Ottfjällsgatan 7,2021-10-27,2580000.0,2650000,2.0,48.0,1.0,1.0,3562.0,4800.0,2100-01-01,2.0,0,57.718400258873686,12.017778805563914,74.20833333333333,"Örgryte-Härlanda, Strömmensberg, Ö"
3660,Haråsgatan 3,2021-09-29,2590000.0,3280000,2.0,53.0,,2.0,3335.0,4000.0,2100-01-01,4.0,0,57.69376,11.930701,62.924528301886795,"Majorna-Linné, Karl Johans torg"
3661,Rubingatan 27,2021-09-02,1295000.0,1400000,1.0,36.0,,3.0,2200.0,,1968-01-01,3.0,0,57.6443269,11.9005262,61.111111111111114,"Västra Göteborg, Opaltorget, Norra"
3662,Monsungatan 80,2021-11-12,5795000.0,6200000,3.0,85.0,1.0,7.0,4775.0,5880.0,2014-01-01,8.0,1,57.697933145398736,11.90801401695025,56.1764705882353,"Lundby, Färjenäs"
3664,Västgötagatan 9,2021-10-15,4480000.0,4480000,2.0,71.0,1.0,4.0,3169.0,5388.0,1888-01-01,5.0,0,57.70387228073418,11.980862036879293,44.63380281690141,"Centrum, Bohusgatan m fl"
3665,Oterdahlsgatan 1A,2021-09-30,1690000.0,1720000,1.0,36.0,1.0,2.0,3138.0,2760.0,1946-01-01,3.0,0,57.72036,11.92547,87.16666666666667,"Lundby, Flunsås"
3666,Anders Zornsgatan 23B,2021-09-13,3590000.0,4075000,2.0,59.0,1.0,3.0,3965.0,,1945-01-01,3.0,0,57.702513322759444,12.016013430741777,67.20338983050847,"Örgryte-Härlanda, Lilla Torp"
3667,Västra stillestorpsgatan 13,2021-09-01,1900000.0,1800000,2.0,42.0,,2.0,3142.0,4500.0,1969-01-01,6.0,1,57.7178512848396,11.93500263913153,74.80952380952381,"Lundby, Rambergsstaden, Norra"
3669,Munkebäckstorget 4,2021-10-14,2500000.0,2800000,3.0,69.0,1.0,3.0,5239.0,4860.0,1962-01-01,4.0,1,57.71945789248111,12.026056406486095,75.92753623188406,"Örgryte-Härlanda, Munkebäck, Södra"
3670,Godhemsgatan 13A,2021-11-24,2195000.0,2610000,1.0,38.0,,3.0,2513.0,,1934-01-01,4.0,0,57.686512696218216,11.927330190484863,66.13157894736842,"Majorna-Linné, Kungsladugård, Östra"
3671,Brynolfsgatan 3C,2021-10-14,2690000.0,2750000,2.0,55.0,1.0,3.0,3488.0,3960.0,1949-01-01,3.0,0,57.68116382870378,11.99838983710763,63.41818181818182,"Centrum, Krokslätt, Södra"
3672,Lindholmshamnen 11,2021-10-04,3000000.0,3000000,1.0,30.0,,1.0,2816.0,4320.0,2020-01-01,5.0,1,57.70892129240664,11.941483989110614,93.86666666666666,"Lundby, Lundbyvassen"
3673,Sofiagatan 46C,2021-09-14,2195000.0,2195000,1.0,44.0,,2.0,2951.0,,1926-01-01,3.0,0,57.720019825172834,12.019761887588734,67.06818181818181,"Örgryte-Härlanda, Strömmensberg, Ö"
3674,Styrfarten 2C,2021-10-02,3995000.0,3945000,2.0,77.0,1.0,6.0,2174.0,,2006-01-01,6.0,1,57.70104100680504,11.911610364238483,28.233766233766232,"Lundby, Eriksberg, Östra"
3675,Soldathemsgatan 2,2021-11-02,3650000.0,3450000,3.0,74.0,1.0,5.0,3846.0,6012.0,2011-01-01,5.0,1,57.73325596283108,12.028821556306083,51.972972972972975,"Östra Göteborg, Bellevue Park"
3676,Storkgatan 2D,2021-10-05,3250000.0,3830000,3.0,70.0,,2.0,3025.0,8180.0,1924-01-01,3.0,0,57.72153087546217,12.005342890588068,43.214285714285715,"Örgryte-Härlanda, Redberget"
3677,Sägengatan 21,2021-09-08,1950000.0,2060000,3.0,83.0,1.0,2.0,5714.0,6360.0,1969-01-01,3.0,0,57.744886620074084,11.978349242896366,68.8433734939759,"Norra Hisingen, Backa, Norra"
3679,Guldringen 3,2021-09-23,1995000.0,2200000,2.0,63.0,1.0,1.0,3984.0,,1968-01-01,3.0,0,57.65801875044435,11.890502518791607,63.23809523809524,"Västra Göteborg, Guldringen m fl"
3680,Beryllgatan 61,2021-10-29,2995000.0,3060000,4.0,95.0,1.0,3.0,5840.0,5400.0,1968-01-01,3.0,0,57.6568298699836,11.88565763900137,61.473684210526315,"Västra Göteborg, Tynnered, Norra"
3681,Lindholmsallén 51,2021-11-24,2695000.0,2695000,2.0,40.0,1.0,1.0,2945.0,5808.0,2010-01-01,8.0,1,57.70800414959671,11.937010821723055,73.625,"Lundby, Lundbyvassen"
3682,Gamlestadstorget 20,2021-11-18,2495000.0,2820000,2.0,62.0,,3.0,4313.0,4300.0,1918-01-01,3.0,0,57.73032212098685,12.00881637689997,69.56451612903226,"Östra Göteborg, Gamlestaden, Norra"
3683,Rubingatan 20,2021-11-09,1795000.0,1900000,2.0,59.0,1.0,2.0,3616.0,4200.0,1968-01-01,3.0,0,57.64515683300655,11.900755965432115,61.28813559322034,"Västra Göteborg, Opaltorget, Norra"
3684,Vestagatan 1,2021-09-26,4750000.0,4865000,4.0,105.0,,1.0,5072.0,8000.0,2008-01-01,7.0,1,57.711712033998715,11.99379459611003,48.304761904761904,"Centrum, Gårda, Norra"
3686,Arvesgärde 10,2021-10-06,1650000.0,1650000,1.0,40.0,1.0,1.0,2859.0,2160.0,1964-01-01,3.0,0,57.75305505877923,11.9237996166981,71.475,"Norra Hisingen, Glöstorp"
3687,Liljeforsgatan 26,2021-09-22,3400000.0,3400000,3.0,84.0,1.0,2.0,6571.0,6672.0,1991-01-01,,1,57.68513747621819,11.992003211058577,78.22619047619048,"Centrum, Framnäs"
3688,Nordenskiöldsgatan 30A,2021-11-09,4250000.0,4800000,2.0,68.0,,2.0,3348.0,4000.0,1909-01-01,,1,57.692493029803686,11.948626666250718,49.23529411764706,"Majorna-Linné, Linnéplatsen"
3689,Lindholmsallén 57,2021-10-15,3995000.0,4050000,3.0,75.0,1.0,6.0,4625.0,4000.0,2011-01-01,8.0,1,57.708075665897006,11.935510308578367,61.666666666666664,"Lundby, Lundbyvassen"
3690,Iskällareliden 14A,2021-10-18,2995000.0,3400000,2.0,54.0,1.0,1.0,3341.0,,2100-01-01,,0,57.69867,12.02435,61.870370370370374,"Örgryte-Härlanda, Stora Torp"
3691,Söndagsgatan 21,2021-09-21,1375000.0,1600000,2.0,53.0,1.0,1.0,3606.0,4200.0,1956-01-01,3.0,0,57.7579543905,12.0312541676,68.0377358490566,"Östra Göteborg, Adventsparken, V"
3692,Götabergsgatan 9 C,2021-10-26,2650000.0,3150000,1.0,31.0,,5.0,1408.0,,1889-01-01,5.0,0,57.69980647625048,11.970573994353156,45.41935483870968,"Centrum, Valand"
3693,Sankt Pauligatan 27 C,2021-10-14,3695000.0,4000000,2.0,68.0,1.0,2.0,4541.0,4200.0,1931-01-01,,0,57.710606156667424,12.004767894289717,66.77941176470588,"Örgryte-Härlanda, Sankt Pauli"
3694,Lillatorpsgatan 9A,2021-10-07,5900000.0,6300000,4.0,110.0,1.0,3.0,5536.0,,1949-01-01,,0,57.70314,12.02529,50.32727272727273,"Örgryte-Härlanda, Lilla Torp"
3695,Karin Boyes Gata 4,2021-09-22,2150000.0,2650000,1.0,40.0,1.0,2.0,2500.0,4200.0,1992-01-01,8.0,1,57.708470800710266,11.981855916553457,62.5,"Centrum, Odinsgatan m fl"
3696,Kobbarnas väg 5,2021-09-27,2790000.0,2950000,2.0,52.0,1.0,5.0,2757.0,,1944-01-01,6.0,1,57.7131853,11.996965,53.01923076923077,"Örgryte-Härlanda, Olskroken"
3697,Thorburnsgatan 1,2021-09-25,2475000.0,2500000,1.0,42.0,1.0,1.0,2809.0,4200.0,1951-01-01,3.0,0,57.68599530056177,11.995573598282652,66.88095238095238,"Centrum, Krokslätt, Norra"
3698,Arvesgärde 9,2021-11-03,1795000.0,1825000,2.0,62.0,1.0,,4141.0,5760.0,1965-01-01,,0,57.752863846380734,11.92369818518846,66.79032258064517,"Norra Hisingen, Glöstorp"
3699,Litteraturgatan 210,2021-11-11,3390000.0,3600000,4.0,87.0,1.0,6.0,5191.0,4242.0,2017-01-01,5.0,1,57.7492523955455,11.980136471667363,59.666666666666664,"Norra Hisingen, Selma Lagerlöfs torg"
3700,Arsenalsgatan 4 D,2021-11-04,3675000.0,3855000,2.0,64.0,,1.0,3498.0,4800.0,1908-01-01,,0,57.70197483372974,11.95793553403493,54.65625,"Centrum, Inom Vallgraven"
3701,Storgatan 27,2021-10-27,6175000.0,6750000,3.0,96.0,1.0,2.0,4949.0,5800.0,1894-01-01,5.0,0,57.699741308684324,11.968229160528203,51.552083333333336,"Centrum, Vasastaden, Norra"
3702,Nordostpassagen 50,2021-09-26,2195000.0,2560000,1.0,39.0,,2.0,2718.0,4400.0,1967-01-01,,0,57.69178053331236,11.947780267445319,69.6923076923077,"Majorna-Linné, Slottsskogen"
3703,Nilssonsberg 12,2021-10-27,3350000.0,3350000,2.0,46.0,1.0,3.0,2719.0,,1977-01-01,,1,57.6949929814379,11.958756247569884,59.108695652173914,"Majorna-Linné, Nilssonsberg"
3704,Smögengatan 16,2021-11-04,,3400000,2.0,52.0,1.0,2.0,2783.0,7620.0,2018-01-01,4.0,1,57.71940606537555,12.046098745590573,53.51923076923077,"Örgryte-Härlanda, Björkekärr, Norra"
3705,Teleskopgatan 6,2021-10-17,1150000.0,1150000,2.0,35.0,,7.0,2950.0,2400.0,1967-01-01,7.0,1,57.762432,12.061114,84.28571428571429,"Östra Göteborg, Bergsjön, Norra"
3706,"Värmlandsgatan 17, Vån 6 / 6",2021-09-21,4690000.0,5885000,3.0,65.0,1.0,6.0,2865.0,7400.0,1979-01-01,6.0,1,57.69860543650629,11.946416762816567,44.07692307692308,"Majorna-Linné, Masthuggstorget"
3708,Kobergsgatan 24,2021-10-05,2490000.0,2600000,2.0,45.0,1.0,2.0,3076.0,,1942-01-01,4.0,1,57.72053,12.01546,68.35555555555555,"Örgryte-Härlanda, Strömmensberg, V"
3709,Rangströmsliden 5,2021-10-13,2950000.0,3440000,2.0,52.0,1.0,,3094.0,2040.0,1967-01-01,7.0,1,57.69696869610759,11.943029415081899,59.5,"Majorna-Linné, Oscar Fredrik"
3710,Jans väg 5,2021-10-20,,5450000,3.0,75.0,1.0,2.0,2229.0,,2010-01-01,2.0,0,57.62437961768549,11.931828491639443,29.72,"Askim-Frölunda-Högsbo, Hovås, Södra"
3711,Viktoriagatan 36,2021-10-12,2490000.0,2775000,1.0,31.0,,,2286.0,1920.0,1971-01-01,,1,57.695800175973275,11.967669018355192,73.74193548387096,"Centrum, Vasastaden, Södra"
3712,Kransen 5,2021-11-25,,2900000,2.0,56.0,,2.0,3341.0,,2100-01-01,,0,57.72151639638951,12.019957926065267,59.660714285714285,"Örgryte-Härlanda, Strömmensberg, Ö"
3713,Teleskopgatan 12,2021-09-20,1550000.0,1570000,3.0,78.0,1.0,8.0,4963.0,4527.0,1969-01-01,8.0,1,57.7610359215,12.0610803565,63.62820512820513,"Östra Göteborg, Bergsjön, Norra"
3714,Eklanda Skog 59,2021-11-24,,4600000,3.0,79.0,,1.0,4186.0,5700.0,1994-01-01,2.0,0,57.65444451943752,11.96495233566897,52.9873417721519,Eklanda Västra
3715,Modellörsgatan 2B,2021-11-04,4990000.0,4900000,3.0,73.0,1.0,2.0,4260.0,,2100-01-01,3.0,0,57.71155,12.0219,58.35616438356164,"Örgryte-Härlanda, Kärralund, Norra"
3716,Såggatan 35G,2021-09-05,2275000.0,2530000,1.0,35.0,,1.0,2247.0,3500.0,1943-01-01,3.0,0,57.693201570337685,11.926293500472356,64.2,"Majorna-Linné, Marieberg"
3717,Styrsögatan 3A,2021-10-07,2690000.0,2910000,2.0,52.0,1.0,2.0,3954.0,5716.0,1939-01-01,4.0,0,57.683582,11.912442,76.03846153846153,"Majorna-Linné, Silverkällan"
3718,Kungälvsgatan 1B,2021-10-14,,5600000,3.0,93.0,,,3300.0,3600.0,1926-01-01,,0,57.71903,12.00575,35.483870967741936,"Örgryte-Härlanda, Ånäs"
3720,Solhagagatan 118,2021-10-26,,2500000,4.0,91.0,,1.0,6218.0,,2100-01-01,3.0,0,57.7970977016672,11.995023889913115,68.32967032967034,"Norra Hisingen, Kärra, Norra"
3721,Kungälvsgatan 1D,2021-11-25,3580000.0,4200000,3.0,61.0,,3.0,3315.0,7860.0,1929-01-01,3.0,0,57.718882445464686,12.005847336613071,54.34426229508197,"Örgryte-Härlanda, Ånäs"
3722,Vaktmästaregången 8,2021-09-29,3480000.0,3830000,2.0,67.0,1.0,2.0,3649.0,5880.0,1967-01-01,6.0,1,57.695595333936126,11.939015842870432,54.46268656716418,"Majorna-Linné, Masthugget, Nedre"
3723,Högtrycksgatan 4,2021-11-26,1150000.0,1300000,2.0,63.0,1.0,2.0,3643.0,3000.0,1965-01-01,3.0,0,57.73575875867707,11.891289980361613,57.82539682539682,"Västra Hisingen, Länsmansgården, C"
3724,Lövmånadsgatan 8,2021-10-04,1350000.0,1350000,1.0,25.0,,1.0,1819.0,2700.0,1955-01-01,3.0,0,57.756584,12.034534,72.76,"Östra Göteborg, Förstamajgatan m fl"
3726,Mintensgatan 5A,2021-11-05,3175000.0,3350000,2.0,64.0,,1.0,2947.0,,1944-01-01,,1,57.71396,12.00294,46.046875,"Örgryte-Härlanda, Redbergsplatsen"
3727,Gubbe-Lars väg 4,2021-11-09,3950000.0,3959800,4.0,105.0,,5.0,5923.0,,2021-01-01,,1,57.75035785188227,11.929671907519793,56.40952380952381,"Norra Hisingen, Tuve, Södra"
3728,Glöstorpsvägen 12P,2021-10-28,3190000.0,3575000,4.0,84.0,,1.0,5763.0,4536.0,1959-01-01,,0,57.75319,11.93323,68.60714285714286,"Norra Hisingen, Tuve, Norra"
3730,Hedåsgatan 4,2021-10-05,9000000.0,8850000,3.0,95.0,1.0,6.0,3632.0,,1914-01-01,6.0,1,57.70042589840863,11.982576004449829,38.23157894736842,"Centrum, Heden"
3731,Marklandsgatan 69,2021-11-22,2195000.0,2375000,2.0,54.0,1.0,5.0,3548.0,,1961-01-01,8.0,1,57.668640233270715,11.93493199418118,65.70370370370371,"Askim-Frölunda-Högsbo, Marklandsgat."
3732,Vänersborgsgatan 1D,2021-10-14,2180000.0,2600000,2.0,54.0,,2.0,3104.0,3458.0,1949-01-01,3.0,0,57.73190293065296,12.014482611175245,57.48148148148148,"Östra Göteborg, Gamlestaden, Norra"
3734,Lillekärr norra 78,2021-10-25,1695000.0,1650000,2.0,65.0,1.0,1.0,3821.0,3600.0,1973-01-01,3.0,0,57.796378114639644,11.99196974673656,58.784615384615385,"Norra Hisingen, Kärra, Norra"
3736,Berguven 12,2021-09-03,4995000.0,5400000,4.0,96.0,1.0,2.0,5020.0,,2018-01-01,6.0,1,57.59629359693266,11.950082508819888,52.291666666666664,"Askim-Frölunda-Högsbo, Uggleberget"
3737,Gulsparvsgatan 20,2021-09-21,3150000.0,3350000,3.0,69.0,,3.0,3731.0,5880.0,1946-01-01,3.0,0,57.688062639655584,12.009230804519284,54.072463768115945,"Örgryte-Härlanda, Skår, Södra"
3738,Nordostpassagen 22,2021-09-15,,5700000,4.0,96.0,,2.0,5688.0,6000.0,1967-01-01,6.0,1,57.694126,11.947716,59.25,"Majorna-Linné, Vegastaden"
3739,Ekebygatan 2,2021-11-26,1895000.0,1995000,3.0,80.0,1.0,2.0,5221.0,4800.0,2100-01-01,,0,57.756891955,11.9890880585,65.2625,"Norra Hisingen, Bäckebol"
3740,Kavaljersgatan 29,2021-10-21,1795000.0,1900000,2.0,65.0,,2.0,4776.0,2880.0,1970-01-01,3.0,1,57.754438295414346,11.983150302473865,73.47692307692307,"Norra Hisingen, Bäckebol"
3741,Rangeltorpsgatan 51 E,2021-09-16,2995000.0,3500000,2.0,48.0,1.0,2.0,3181.0,,1938-01-01,2.0,0,57.6935695,12.0072737,66.27083333333333,"Örgryte-Härlanda, Skår, Södra"
3742,Ernst torulfsgatan 11A,2021-09-29,2090000.0,2290000,2.0,50.0,,3.0,3059.0,,1947-01-01,3.0,0,57.72064,12.02901,61.18,"Örgryte-Härlanda, Munkebäck, Södra"
3743,Tredje Långgatan 30B,2021-10-26,4150000.0,4250000,2.0,61.0,1.0,2.0,3990.0,,1885-01-01,5.0,0,57.698274144517235,11.947586191192013,65.40983606557377,"Majorna-Linné, Långgatorna"
3744,Valthornsgatan 6,2021-11-08,3150000.0,3250000,3.0,76.0,1.0,8.0,4088.0,4800.0,2019-01-01,15.0,1,57.654428485291305,11.907191479792537,53.78947368421053,"Askim-Frölunda-Högsbo, Frölunda"
3745,Storkgatan 6I,2021-11-10,2150000.0,2425000,1.0,35.0,,1.0,1842.0,,1927-01-01,3.0,0,57.721678578155405,12.007027241944566,52.628571428571426,"Örgryte-Härlanda, Ånäs"
3746,Badvädersgatan 11 Lgh 1401,2021-10-06,1495000.0,1550000,3.0,66.0,1.0,4.0,4381.0,4600.0,2100-01-01,8.0,1,57.7265651373,11.8976783542,66.37878787878788,"Västra Hisingen, Svartedalen, Norra"
3747,Penselgatan 10,2021-10-11,2575000.0,2650000,2.0,55.0,,,3465.0,,2016-01-01,10.0,1,57.72217203440477,11.949033202757883,63.0,"Lundby, Penselgatan m fl"
3748,Noleredsvägen 2,2021-09-10,2350000.0,2200000,2.0,63.0,1.0,1.0,3979.0,4500.0,1966-01-01,4.0,0,57.721645190309864,11.76358705158379,63.15873015873016,"Västra Hisingen, Torslanda Torg"
3749,Skånegatan 35C,2021-09-07,,4300000,2.0,54.0,1.0,2.0,2288.0,,1923-01-01,5.0,1,57.697464728916096,11.985793642236155,42.370370370370374,"Centrum, Hedås"
3750,Glöstorps Röseväg 10,2021-09-19,3695000.0,3750000,3.0,96.0,1.0,6.0,5078.0,11000.0,2015-01-01,6.0,1,57.753073239218686,11.917157018759745,52.895833333333336,"Norra Hisingen, Glöstorp"
3751,Mölndalsvägen 87 H,2021-10-05,3250000.0,3500000,2.0,55.0,1.0,5.0,3031.0,5880.0,2018-01-01,10.0,1,57.68090479785765,12.001867694292951,55.10909090909091,"Centrum, Krokslätt, Södra"
3752,Göketorpsgatan 28C,2021-09-10,5395000.0,5875000,5.0,109.0,1.0,1.0,7263.0,5400.0,1948-01-01,,0,57.70716192215233,12.021054193049013,66.63302752293578,"Örgryte-Härlanda, Lilla Torp"
3753,Lövskogsgatan 6B,2021-11-19,2400000.0,2630000,1.0,37.0,1.0,1.0,2056.0,4985.0,1947-01-01,3.0,0,57.68803231055285,11.963451543183997,55.567567567567565,"Centrum, Guldheden, Norra"
3754,Östra Midvintersgatan 18,2021-11-09,1295000.0,1360000,2.0,54.0,1.0,5.0,3658.0,5652.0,1956-01-01,9.0,1,57.7575,12.032437,67.74074074074075,"Östra Göteborg, Adventsparken, V"
3755,Penselgatan 6,2021-10-06,2150000.0,2150000,1.0,40.0,1.0,5.0,2614.0,4920.0,2015-01-01,10.0,1,57.72152298145412,11.948953482898016,65.35,"Lundby, Penselgatan m fl"
3756,Västra midvintersgatan 6,2021-09-20,1675000.0,1725000,2.0,54.0,1.0,2.0,3548.0,3600.0,1956-01-01,4.0,0,57.756573139809,12.029344858406567,65.70370370370371,"Östra Göteborg, Adventsparken, V"
3757,Batterigatan 7D,2021-09-01,2395000.0,2600000,2.0,57.0,,1.0,3320.0,,1949-01-01,4.0,0,57.73181,12.01541,58.24561403508772,"Östra Göteborg, Gamlestaden, Norra"
